Age group,Term,Freq
16 - 24,"""absorb"" (19.65%)",1.326946641
25 - 34,"""absorb"" (19.65%)",0.915461054
35 - 44,"""absorb"" (19.65%)",-0.089658557
45 - 54,"""absorb"" (19.65%)",-0.930561442
55 - 65,"""absorb"" (19.65%)",-1.145741979
16 - 24,"""absorbs quickly"" (17.97%)",0.153562795
25 - 34,"""absorbs quickly"" (17.97%)",0.535836134
35 - 44,"""absorbs quickly"" (17.97%)",0.682864342
45 - 54,"""absorbs quickly"" (17.97%)",-0.810288789
55 - 65,"""absorbs quickly"" (17.97%)",-0.957316996
16 - 24,"""acid"" (18.20%)",1.418805309
25 - 34,"""acid"" (18.20%)",0.916723112
35 - 44,"""acid"" (18.20%)",-0.287145886
45 - 54,"""acid"" (18.20%)",-0.828717693
55 - 65,"""acid"" (18.20%)",-1.040833318
16 - 24,"""acne treatment"" (2.32%)",0.276818897
25 - 34,"""acne treatment"" (2.32%)",0.315000814
35 - 44,"""acne treatment"" (2.32%)",0.381819168
45 - 54,"""acne treatment"" (2.32%)",-0.658638065
55 - 65,"""acne treatment"" (2.32%)",-0.448637522
16 - 24,"""acne"" (30.25%)",1.322736101
25 - 34,"""acne"" (30.25%)",0.916219496
35 - 44,"""acne"" (30.25%)",-0.153637532
45 - 54,"""acne"" (30.25%)",-0.961895519
55 - 65,"""acne"" (30.25%)",-1.00175823
16 - 24,"""active"" (3.55%)",1.453382148
25 - 34,"""active"" (3.55%)",0.874762923
35 - 44,"""active"" (3.55%)",-0.496610201
45 - 54,"""active"" (3.55%)",-0.82009024
55 - 65,"""active"" (3.55%)",-0.660628249
16 - 24,"""added bonus"" (1.80%)",-0.208697676
25 - 34,"""added bonus"" (1.80%)",-0.075882015
35 - 44,"""added bonus"" (1.80%)",0.090137562
45 - 54,"""added bonus"" (1.80%)",0.167613365
55 - 65,"""added bonus"" (1.80%)",0.01266176
16 - 24,"""affordable"" (17.35%)",0.903562461
25 - 34,"""affordable"" (17.35%)",0.936577243
35 - 44,"""affordable"" (17.35%)",-0.371850705
45 - 54,"""affordable"" (17.35%)",-0.491746493
55 - 65,"""affordable"" (17.35%)",-0.875760539
16 - 24,"""age perfect"" (2.42%)",-0.411220496
25 - 34,"""age perfect"" (2.42%)",0.328976397
35 - 44,"""age perfect"" (2.42%)",0.612261628
45 - 54,"""age perfect"" (2.42%)",-0.657952794
55 - 65,"""age perfect"" (2.42%)",-0.191902898
16 - 24,"""age spots"" (3.58%)",-1.13533754
25 - 34,"""age spots"" (3.58%)",-0.617939193
35 - 44,"""age spots"" (3.58%)",0.520337169
45 - 54,"""age spots"" (3.58%)",0.68590464
55 - 65,"""age spots"" (3.58%)",0.768688375
16 - 24,"""aging skin"" (5.69%)",0.534246326
25 - 34,"""aging skin"" (5.69%)",0.507366007
35 - 44,"""aging skin"" (5.69%)",0.507366007
45 - 54,"""aging skin"" (5.69%)",-0.520806166
55 - 65,"""aging skin"" (5.69%)",-1.374256271
16 - 24,"""alcohol"" (5.43%)",0.66386342
25 - 34,"""alcohol"" (5.43%)",0.561387858
35 - 44,"""alcohol"" (5.43%)",0.294060307
45 - 54,"""alcohol"" (5.43%)",-0.650497042
55 - 65,"""alcohol"" (5.43%)",-1.064854747
16 - 24,"""all in one"" (1.97%)",0.917047872
25 - 34,"""all in one"" (1.97%)",-0.366836858
35 - 44,"""all in one"" (1.97%)",-0.32256497
45 - 54,"""all in one"" (1.97%)",-0.167613365
55 - 65,"""all in one"" (1.97%)",0.208697676
