Age group,Term,More Phrase Usage,Category
16 - 24,"""absorb"" (19.65%)",1.326946641,Product Usage
25 - 34,"""absorb"" (19.65%)",0.915461054,Product Usage
35 - 44,"""absorb"" (19.65%)",-0.089658557,Product Usage
45 - 54,"""absorb"" (19.65%)",-0.930561442,Product Usage
55 - 65,"""absorb"" (19.65%)",-1.145741979,Product Usage
16 - 24,"""absorbs quickly"" (17.97%)",0.153562795,Product Usage
25 - 34,"""absorbs quickly"" (17.97%)",0.535836134,Product Usage
35 - 44,"""absorbs quickly"" (17.97%)",0.682864342,Product Usage
45 - 54,"""absorbs quickly"" (17.97%)",-0.810288789,Product Usage
55 - 65,"""absorbs quickly"" (17.97%)",-0.957316996,Product Usage
16 - 24,"""acid"" (18.20%)",1.418805309,Product Ingredients
25 - 34,"""acid"" (18.20%)",0.916723112,Product Ingredients
35 - 44,"""acid"" (18.20%)",-0.287145886,Product Ingredients
45 - 54,"""acid"" (18.20%)",-0.828717693,Product Ingredients
55 - 65,"""acid"" (18.20%)",-1.040833318,Product Ingredients
16 - 24,"""acne treatment"" (2.32%)",0.276818897,Product Description
25 - 34,"""acne treatment"" (2.32%)",0.315000814,Product Description
35 - 44,"""acne treatment"" (2.32%)",0.381819168,Product Description
45 - 54,"""acne treatment"" (2.32%)",-0.658638065,Product Description
55 - 65,"""acne treatment"" (2.32%)",-0.448637522,Product Description
16 - 24,"""acne"" (30.25%)",1.322736101,Product Description
25 - 34,"""acne"" (30.25%)",0.916219496,Product Description
35 - 44,"""acne"" (30.25%)",-0.153637532,Product Description
45 - 54,"""acne"" (30.25%)",-0.961895519,Product Description
55 - 65,"""acne"" (30.25%)",-1.00175823,Product Description
16 - 24,"""active"" (3.55%)",1.453382148,Product Traits
25 - 34,"""active"" (3.55%)",0.874762923,Product Traits
35 - 44,"""active"" (3.55%)",-0.496610201,Product Traits
45 - 54,"""active"" (3.55%)",-0.82009024,Product Traits
55 - 65,"""active"" (3.55%)",-0.660628249,Product Traits
